"","项目批准号","申请代码1","项目名称","项目负责人","依托单位","批准金额","项目起止年月"
"1","91852117","A020402","基于局部流场修正的空化湍流场建模及相互作用机理研究","朱兵","上海理工大学","100","2019-01至2021-12"
"2","91850206","A040407","拓扑保护连续束缚光子态新光场调控机理与高性能激光研究","郑婉华","中国科学院半导体研究所","350","2019-01至2022-12"
"3","91850201","A040305","超短阿秒脉冲产生和电子空穴动力学的多谱段探测","赵增秀","中国人民解放军国防科技大学","390","2019-01至2022-12"
"4","91852108","A0204","基于深度学习的湍流特征量分析与建模","张宇飞","清华大学","100","2019-01至2021-12"
"5","91850205","A040405","基于光学微纳结构奇异点的光场手征特性调控及分子手性探测 ","张向东","北京理工大学","350","2019-01至2022-12"
"6","91836106","A040308","基于囚禁离子的转动与振动量子精密测量实验研究","张翔","中国人民大学","80","2019-01至2021-12"
"7","91836101","A040309","基于旋量玻色－爱因斯坦凝聚的量子磁力计","张文献","武汉大学","80","2019-01至2021-12"
"8","91852115","A020415","面向翼型基于机器学习理论的湍流建模方法研究","张伟伟","西北工业大学","99","2019-01至2021-12"
"9","91850202","A040401","新型宽场超分辨及超高速光学显微成像基础研究与应用","张诗按","华东师范大学","390","2019-01至2022-12"
"10","91850104","A040407","基于金属纳米结构的新型光场产生、调控及与物质相互作用研究","张家森","北京大学","80","2019-01至2021-12"
"11","91850107","F051401","介观光波导的非线性光学及光力特性研究","虞华康","华南理工大学","80","2019-01至2021-12"
"12","91852116","A011707","基于极小作用方法和高精度算法的湍流生成机理研究","于海军","中国科学院数学与系统科学研究院","97","2019-01至2021-12"
"13","91850119","A040407","基于表面等离激元磁共振的光场调控研究","杨志林","厦门大学","80","2019-01至2021-12"
"14","91852107","A020401","带水平剪切的双扩散对流流动结构及输运特性","杨延涛","北京大学","100","2019-01至2021-12"
"15","91850111","A040405","基于飞秒光电子显微镜技术的载流子动力学多维度研究","杨宏","北京大学","80","2019-01至2021-12"
"16","91833000","E03","指导专家组调研和学术交流会组织费用","许宁生","复旦大学","400","2018-01至2020-12"
"17","91852114","A020401","基于非平衡气体动理学的时间松弛湍流建模","徐昆","香港科技大学深圳研究院","100","2019-01至2021-12"
"18","91852106","A020401","涡扇发动机中湍流特性及宽频噪生产生机理的数值研究","徐辉","上海交通大学","96","2019-01至2021-12"
"19","91850207","A040407","可片上集成的突破衍射极限光场的产生与传输","徐红星","武汉大学","390","2019-01至2022-12"
"20","91852104","A020401","基于拉格朗日加速度测量的湍流压力场统计特性研究","徐海涛","清华大学","99","2019-01至2021-12"
"21","91852112","A020401","超高负荷低压涡轮叶栅的流动损失机理和控制方法","肖左利","北京大学","100","2019-01至2021-12"
"22","91852113","A020401","凹腔诱发高超声速边界层转捩机理及气动加热研究","肖志祥","清华大学","100","2019-01至2021-12"
"23","91850105","A040408","钙钛矿受限量子体系相干动力学的多维电子光谱研究","肖敏","南京大学","80","2019-01至2021-12"
"24","91836103","A040309","氟化镁分子的磁光囚禁及其在质子-电子的质量比常数精密测量上的应用","夏勇","华东师范大学","80","2019-01至2021-12"
"25","91836105","A050106","基于扭摆的空间引力波探测中检验质量磁性干扰及磁性测量的研究","吴书朝","华中科技大学","80","2019-01至2021-12"
"26","91850209","A040406","调控超快光场的相干合成及驱动产生阿秒脉冲的研究","魏志义","中国科学院物理研究所","390","2019-01至2022-12"
"27","91850116","A040407","结合矢量光束与电子隧穿方法构建纳米尺度局域光场及其调控物理研究","王笑","湖南大学","80","2019-01至2021-12"
"28","91852205","A020401","含离散物质两相壁湍流中的湍流结构和流动阻力调控机理研究","王连平","南方科技大学","400","2019-01至2022-12"
"29","91850113","A040405","基于贵金属纳米孔/单层二维材料复合超构表面的二次谐波多维度调控","王凯","华中科技大学","80","2019-01至2021-12"
"30","91852206","A020401","壁面几何形状对湍流边界层湍流/非湍流界面特性影响的实验研究","王晋军","北京航空航天大学","420","2019-01至2022-12"
"31","91852207","A020401","高能量密度下汇聚几何界面失稳诱导的转捩和湍流混合机理研究","田保林","北京应用物理与计算数学研究所","400","2019-01至2022-12"
"32","91850110","A040404","基于光波导的光场调控及其在微流传感中的应用","谭杨","山东大学","80","2019-01至2021-12"
"33","91852202","A020401","封闭湍流系统中粗糙壁面对湍流结构生成演化及输运的影响研究","孙超","清华大学","420","2019-01至2022-12"
"34","91852105","A020401","不可压缩壁面剪切流动中层流-湍流界面处湍流生成和扩展机制研究","宋保方","天津大学","94","2019-01至2021-12"
"35","91850115","A040403","基于石墨烯辅助的耦合微腔系统中宇称时间对称性及其应用研究","施雷","华中科技大学","80","2019-01至2021-12"
"36","91852204","A020402","云空化汽液两相湍流的建模及其时空演化机理研究","邵雪明","浙江大学","420","2019-01至2022-12"
"37","91850108","A040407","微纳金属结构矢量光场变换及在光学模拟计算中的应用","阮智超","浙江大学","79","2019-01至2021-12"
"38","91850112","F050207","基于超表面嵌入结构的高效偏振GaN基LED研究","任芳芳","南京大学","80","2019-01至2021-12"
"39","91850203","A040406","长波中红外（8微米）周期量级超快光场的产生与操控技术研究","钱列加","上海交通大学","350","2019-01至2022-12"
"40","91850120","A040405","强场驱动下量子材料的阿秒动力学","孟胜","中国科学院物理研究所","80","2019-01至2021-12"
"41","91852103","A020402","典型空化状态下空化与湍流的相互作用机制","罗先武","清华大学","100","2019-01至2021-12"
"42","91836000","A0403","指导专家组项目调研和组织学术交流会费用","罗俊","中山大学","350","2019-01至2021-12"
"43","91850117","A040407","芯片上金属纳米颗粒-光子晶体复合微腔的制备及应用研究","路翠翠","北京理工大学","80","2019-01至2021-12"
"44","91836303","A040408","基于高品质单光子和多光子纠缠的超越标准量子极限精密测量技术","陆朝阳","中国科学技术大学","430","2019-01至2021-12"
"45","91836301","A030604","高精度时间频率传递与比对研究","刘涛","中国科学院国家授时中心","430","2019-01至2021-12"
"46","91852101","A020402","梢隙涡空化初生的流动控制方法研究","刘建华","中国船舶科学研究中心","109","2019-01至2021-12"
"47","91850114","A040305","若干纳微结构在超快光场中的电子动力学理论研究","刘爱华","吉林大学","80","2019-01至2021-12"
"48","91850109","A040407","超快局域等离激元动力学演化的高时空分辨研究","林景全","长春理工大学","80","2019-01至2021-12"
"49","91852102","A020401","由湍动导致纳米颗粒数密度增减和扩散的两相湍流研究","林建忠","浙江大学","95","2019-01至2021-12"
"50","91836104","A050106","用于空间引力波探测的高精度皮瓦级弱光锁相控制研究","梁浴榕","中国科学院武汉物理与数学研究所","80","2019-01至2021-12"
"51","91852203","A020401","可压缩湍流高精度数值研究","李新亮","中国科学院力学研究所","400","2019-01至2022-12"
